BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;JAHR;ANZAHL_PERSONEN
4806;Eschenz;2012;Bezirk Frauenfeld;2020;1862
4811;Herdern;2012;Bezirk Frauenfeld;2020;1114
4816;Homburg;2012;Bezirk Frauenfeld;2020;1544
4821;Hüttwilen;2012;Bezirk Frauenfeld;2020;1763
4591;Matzingen;2012;Bezirk Frauenfeld;2020;3019
4831;Müllheim;2012;Bezirk Frauenfeld;2020;2994
4601;Neunforn;2012;Bezirk Frauenfeld;2020;1080
4611;Thundorf;2012;Bezirk Frauenfeld;2020;1512
4621;Warth-Weiningen;2012;Bezirk Frauenfeld;2020;1363
4651;Gottlieben;2013;Bezirk Kreuzlingen;2020;334
4683;Lengwil;2013;Bezirk Kreuzlingen;2020;1723
4846;Raperswilen;2013;Bezirk Kreuzlingen;2020;416
4851;Salenstein;2013;Bezirk Kreuzlingen;2020;1409
4701;Wäldi;2013;Bezirk Kreuzlingen;2020;1055
4716;Bettwiesen;2014;Bezirk Münchwilen;2020;1225
4721;Bichelsee-Balterswil;2014;Bezirk Münchwilen;2020;2949
4723;Braunau;2014;Bezirk Münchwilen;2020;801
4761;Sirnach;2014;Bezirk Münchwilen;2020;7887
4881;Amlikon-Bissegg;2015;Bezirk Weinfelden;2020;1329
4901;Birwinken;2015;Bezirk Weinfelden;2020;1330
4471;Bischofszell;2015;Bezirk Weinfelden;2020;5878
4486;Hauptwil-Gottshaus;2015;Bezirk Weinfelden;2020;2007
4495;Hohentannen;2015;Bezirk Weinfelden;2020;610
4941;Märstetten;2015;Bezirk Weinfelden;2020;2887
4416;Hefenhofen;2011;Bezirk Arbon;2020;1276
4446;Sommeri;2011;Bezirk Arbon;2020;622
4536;Basadingen-Schlattingen;2012;Bezirk Frauenfeld;2020;1814
4561;Felben-Wellhausen;2012;Bezirk Frauenfeld;2020;2864
4571;Gachnang;2012;Bezirk Frauenfeld;2020;4472
4546;Schlatt;2012;Bezirk Frauenfeld;2020;1808
4864;Steckborn;2012;Bezirk Frauenfeld;2020;3828
4606;Stettfurt;2012;Bezirk Frauenfeld;2020;1217
4643;Bottighofen;2013;Bezirk Kreuzlingen;2020;2392
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2020;22375
4696;Tägerwilen;2013;Bezirk Kreuzlingen;2020;4924
4551;Aadorf;2014;Bezirk Münchwilen;2020;9198
4724;Eschlikon;2014;Bezirk Münchwilen;2020;4564
4726;Fischingen;2014;Bezirk Münchwilen;2020;2831
4746;Münchwilen;2014;Bezirk Münchwilen;2020;5821
4776;Tobel-Tägerschen;2014;Bezirk Münchwilen;2020;1588
4711;Affeltrangen;2015;Bezirk Weinfelden;2020;2642
4921;Bussnang;2015;Bezirk Weinfelden;2020;2466
4756;Schönholzerswilen;2015;Bezirk Weinfelden;2020;839
4506;Sulgen;2015;Bezirk Weinfelden;2020;3943
4951;Wigoltingen;2015;Bezirk Weinfelden;2020;2560
4791;Wuppenau;2015;Bezirk Weinfelden;2020;1129
4511;Zihlschlacht-Sitterdorf;2015;Bezirk Weinfelden;2020;2478
4421;Horn;2011;Bezirk Arbon;2019;2898
4426;Kesswil;2011;Bezirk Arbon;2019;1000
4431;Roggwil;2011;Bezirk Arbon;2019;3082
4536;Basadingen-Schlattingen;2012;Bezirk Frauenfeld;2019;1828
4561;Felben-Wellhausen;2012;Bezirk Frauenfeld;2019;2858
4571;Gachnang;2012;Bezirk Frauenfeld;2019;4443
4811;Herdern;2012;Bezirk Frauenfeld;2019;1111
4816;Homburg;2012;Bezirk Frauenfeld;2019;1541
4591;Matzingen;2012;Bezirk Frauenfeld;2019;2958
4611;Thundorf;2012;Bezirk Frauenfeld;2019;1486
4871;Wagenhausen;2012;Bezirk Frauenfeld;2019;1711
4643;Bottighofen;2013;Bezirk Kreuzlingen;2019;2295
4646;Ermatingen;2013;Bezirk Kreuzlingen;2019;3521
4666;Kemmental;2013;Bezirk Kreuzlingen;2019;2591
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2019;22193
4681;Langrickenbach;2013;Bezirk Kreuzlingen;2019;1274
4846;Raperswilen;2013;Bezirk Kreuzlingen;2019;413
4696;Tägerwilen;2013;Bezirk Kreuzlingen;2019;4765
4721;Bichelsee-Balterswil;2014;Bezirk Münchwilen;2019;2873
4724;Eschlikon;2014;Bezirk Münchwilen;2019;4464
4746;Münchwilen;2014;Bezirk Münchwilen;2019;5667
4761;Sirnach;2014;Bezirk Münchwilen;2019;7783
4786;Wilen;2014;Bezirk Münchwilen;2019;2515
4711;Affeltrangen;2015;Bezirk Weinfelden;2019;2603
4471;Bischofszell;2015;Bezirk Weinfelden;2019;5963
4476;Erlen;2015;Bezirk Weinfelden;2019;3764
4486;Hauptwil-Gottshaus;2015;Bezirk Weinfelden;2019;1987
4941;Märstetten;2015;Bezirk Weinfelden;2019;2884
4946;Weinfelden;2015;Bezirk Weinfelden;2019;11559
4461;Amriswil;2011;Bezirk Arbon;2019;13745
4416;Hefenhofen;2011;Bezirk Arbon;2019;1201
4436;Romanshorn;2011;Bezirk Arbon;2019;11236
4446;Sommeri;2011;Bezirk Arbon;2019;608
4451;Uttwil;2011;Bezirk Arbon;2019;1889
4806;Eschenz;2012;Bezirk Frauenfeld;2019;1833
